,team,season,power_rating
134,Ole Miss,2008,16.8
135,Georgia,2008,16.4
136,California,2008,15.5
137,Florida State,2008,14.6
138,Arizona,2008,14.2
139,LSU,2008,13.1
140,Nebraska,2008,12.6
141,Oregon State,2008,12.4
142,Kansas,2008,11.9
143,BYU,2008,10.5
144,Clemson,2008,10.1
145,North Carolina,2008,9.9
146,Georgia Tech,2008,8.4
147,Pittsburgh,2008,8.2
148,Boston College,2008,8.1
149,Tulsa,2008,7.8
150,Ball State,2008,7.8
151,Virginia Tech,2008,7.7
152,South Carolina,2008,7.3
153,West Virginia,2008,7.2
154,Miami,2008,7.1
155,Wisconsin,2008,7.0
156,Michigan State,2008,7.0
157,Illinois,2008,6.5
158,Wake Forest,2008,6.5
159,Cincinnati,2008,6.0
160,Rutgers,2008,5.8
161,South Florida,2008,5.7
162,Tennessee,2008,5.6
163,Northwestern,2008,5.0
164,Notre Dame,2008,4.6
165,UConn,2008,4.3
166,Maryland,2008,3.3
167,Houston,2008,3.2
168,Arizona State,2008,3.1
169,Baylor,2008,2.6
170,Stanford,2008,2.2
171,Auburn,2008,1.8
172,Purdue,2008,1.6
173,Rice,2008,1.2
174,NC State,2008,0.7
175,Vanderbilt,2008,0.7
176,Troy,2008,0.4
177,Southern Miss,2008,0.4
178,Arkansas,2008,0.1
179,Minnesota,2008,-0.3
180,Kansas State,2008,-0.3
181,East Carolina,2008,-0.5
182,Navy,2008,-0.6
183,Air Force,2008,-0.9
184,Virginia,2008,-1.0
185,Nevada,2008,-1.1
186,Michigan,2008,-1.2
187,Kentucky,2008,-1.2
188,Bowling Green,2008,-1.9
189,Colorado,2008,-3.0
190,New Mexico,2008,-3.6
191,Duke,2008,-3.8
192,Northern Illinois,2008,-4.2
193,UCLA,2008,-4.3
194,Western Michigan,2008,-4.6
195,Colorado State,2008,-5.9
196,Louisville,2008,-6.5
197,Fresno State,2008,-6.6
198,Central Michigan,2008,-7.2
199,Texas A&M,2008,-7.5
200,Memphis,2008,-7.5
201,Buffalo,2008,-7.7
202,UTEP,2008,-7.9
203,Temple,2008,-8.2
204,Iowa State,2008,-8.3
205,Marshall,2008,-8.5
206,Akron,2008,-8.8
207,Mississippi State,2008,-9.1
208,Hawai'i,2008,-9.9
209,Ohio,2008,-10.4
210,Florida Atlantic,2008,-11.0
211,Louisiana Tech,2008,-11.0
212,UNLV,2008,-11.2
213,Arkansas State,2008,-11.6
214,Louisiana,2008,-12.2
215,Indiana,2008,-12.8
216,UCF,2008,-12.8
217,San José State,2008,-13.0
218,Kent State,2008,-13.4
219,Syracuse,2008,-14.1
220,UAB,2008,-15.0
221,Toledo,2008,-15.2
222,Middle Tennessee,2008,-15.5
223,Wyoming,2008,-16.5
224,Florida International,2008,-16.6
225,Army,2008,-18.2
226,Utah State,2008,-19.3
227,Miami (OH),2008,-19.4
228,SMU,2008,-19.7
229,Tulane,2008,-20.1
230,Washington,2008,-20.5
231,San Diego State,2008,-21.0
232,Eastern Michigan,2008,-21.3
233,UL Monroe,2008,-22.2
234,New Mexico State,2008,-22.9
235,Western Kentucky,2008,-24.4
236,Washington State,2008,-25.5
237,Idaho,2008,-33.7
238,North Texas,2008,-36.5
239,Florida,2009,33.3
240,Alabama,2009,30.8
241,Texas,2009,29.9
242,Virginia Tech,2009,25.9
243,TCU,2009,25.0
244,Oklahoma,2009,22.9
245,Boise State,2009,20.9
246,Oregon,2009,19.7
247,Ohio State,2009,19.3
248,Texas Tech,2009,19.2
249,Penn State,2009,19.1
250,Miami,2009,19.0
251,Nebraska,2009,18.9
252,LSU,2009,18.6
253,Cincinnati,2009,16.5
254,Clemson,2009,15.9
255,Arkansas,2009,15.9
256,Ole Miss,2009,15.4
257,Pittsburgh,2009,15.3
258,Georgia Tech,2009,14.6
259,Tennessee,2009,14.4
260,USC,2009,14.1
261,Georgia,2009,14.1
262,Iowa,2009,13.6
263,Auburn,2009,13.2
264,BYU,2009,13.0
265,Wisconsin,2009,12.3
266,Stanford,2009,12.0
267,Oregon State,2009,11.2
268,Oklahoma State,2009,11.1
269,Utah,2009,10.3
270,West Virginia,2009,10.0
271,South Carolina,2009,10.0
272,North Carolina,2009,9.8
273,Notre Dame,2009,9.5
274,Arizona,2009,9.0
275,Florida State,2009,8.9
276,Boston College,2009,8.4
277,UConn,2009,6.9
278,Missouri,2009,6.9
279,Air Force,2009,6.4
280,Michigan State,2009,6.2
281,California,2009,6.1
282,Mississippi State,2009,5.9
283,Houston,2009,5.4
284,Kansas,2009,5.3
285,Central Michigan,2009,5.3
286,Kentucky,2009,4.9
287,Texas A&M,2009,4.8
288,Rutgers,2009,4.0
289,UCLA,2009,3.6
290,Arizona State,2009,3.5
291,Wake Forest,2009,3.5
292,Michigan,2009,2.8
293,Navy,2009,2.0
294,Purdue,2009,2.0
295,South Florida,2009,1.9
296,Washington,2009,1.5
297,Virginia,2009,0.9
298,East Carolina,2009,0.9
299,Nevada,2009,0.8
300,Minnesota,2009,0.4
301,Kansas State,2009,0.0
302,Fresno State,2009,-0.2
303,Southern Miss,2009,-0.7
304,NC State,2009,-1.3
305,Troy,2009,-1.4
306,Iowa State,2009,-1.9
307,Northwestern,2009,-3.4
308,Colorado,2009,-3.4
309,Middle Tennessee,2009,-3.4
310,Temple,2009,-3.5
311,UCF,2009,-3.6
312,Baylor,2009,-4.0
313,Louisiana Tech,2009,-4.4
314,Duke,2009,-4.4
315,Northern Illinois,2009,-4.7
316,Tulsa,2009,-5.3
317,Vanderbilt,2009,-5.5
318,Illinois,2009,-5.6
319,Maryland,2009,-6.0
320,Bowling Green,2009,-6.7
321,SMU,2009,-6.8
322,Ohio,2009,-7.1
323,Indiana,2009,-7.2
324,Syracuse,2009,-7.2
325,Louisville,2009,-7.7
326,Marshall,2009,-7.9
327,Colorado State,2009,-9.6
328,UAB,2009,-9.7
329,Buffalo,2009,-11.1
330,UTEP,2009,-11.2
331,Western Michigan,2009,-12.8
332,UNLV,2009,-12.9
333,Utah State,2009,-13.0
334,Idaho,2009,-13.1
335,Toledo,2009,-13.1
336,Wyoming,2009,-13.4
337,San Diego State,2009,-14.1
338,Hawai'i,2009,-14.7
339,Kent State,2009,-14.8
340,UL Monroe,2009,-15.9
341,Arkansas State,2009,-17.2
342,Florida Atlantic,2009,-17.4
343,Memphis,2009,-17.7
344,Army,2009,-19.0
345,Ball State,2009,-19.5
346,North Texas,2009,-19.8
347,Akron,2009,-20.7
348,Louisiana,2009,-21.0
349,New Mexico,2009,-21.9
350,Miami (OH),2009,-22.2
351,Florida International,2009,-23.4
352,Washington State,2009,-25.3
353,San José State,2009,-26.2
354,Tulane,2009,-26.6
355,Rice,2009,-28.4
356,Western Kentucky,2009,-29.2
357,New Mexico State,2009,-32.2
358,Eastern Michigan,2009,-32.5
359,Stanford,2010,32.5
360,Oregon,2010,32.0
361,Boise State,2010,30.7
362,Alabama,2010,30.1
363,Ohio State,2010,27.2
364,Auburn,2010,27.0
365,TCU,2010,25.7
366,Arkansas,2010,22.7
367,Oklahoma,2010,21.7
368,Wisconsin,2010,21.4
369,Virginia Tech,2010,21.4
370,Oklahoma State,2010,20.3
371,South Carolina,2010,19.8
372,LSU,2010,19.7
373,Nebraska,2010,18.0
374,Florida State,2010,17.4
375,Missouri,2010,16.5
376,Georgia,2010,16.4
377,USC,2010,15.7
378,Arizona State,2010,15.6
379,Iowa,2010,15.5
380,Florida,2010,14.5
381,Arizona,2010,14.2
382,Miami,2010,14.2
383,Texas A&M,2010,13.2
384,West Virginia,2010,13.2
385,Nevada,2010,13.0
386,Notre Dame,2010,13.0
387,Mississippi State,2010,12.8
388,Utah,2010,11.7
389,NC State,2010,11.4
390,Michigan State,2010,10.7
391,Pittsburgh,2010,10.5
392,Clemson,2010,9.8
393,Oregon State,2010,9.8
394,California,2010,9.6
395,Illinois,2010,8.3
396,Maryland,2010,8.3
397,Hawai'i,2010,7.8
398,North Carolina,2010,7.6
399,Northern Illinois,2010,6.5
400,Louisville,2010,6.3
401,UCF,2010,6.1
402,San Diego State,2010,5.8
403,Air Force,2010,5.5
404,Kentucky,2010,5.5
405,Kansas State,2010,5.5
406,Tennessee,2010,5.4
407,Texas,2010,5.3
408,Michigan,2010,4.8
409,Penn State,2010,4.7
410,Washington,2010,4.5
411,Boston College,2010,3.2
412,Texas Tech,2010,3.1
413,BYU,2010,3.1
414,Ole Miss,2010,2.4
415,UCLA,2010,1.7
416,Georgia Tech,2010,1.6
417,South Florida,2010,1.6
418,Baylor,2010,1.4
419,Southern Miss,2010,1.4
420,Tulsa,2010,1.3
421,Navy,2010,0.8
422,Cincinnati,2010,0.8
423,Syracuse,2010,0.7
424,Fresno State,2010,-1.0
425,UConn,2010,-1.5
426,Colorado,2010,-3.0
427,SMU,2010,-3.4
428,Houston,2010,-4.0
429,Northwestern,2010,-4.0
430,Iowa State,2010,-4.8
431,Temple,2010,-5.2
432,Virginia,2010,-5.5
433,Troy,2010,-5.8
434,Western Michigan,2010,-6.3
435,East Carolina,2010,-7.2
436,Louisiana Tech,2010,-7.5
437,Washington State,2010,-7.8
438,Minnesota,2010,-8.1
439,Purdue,2010,-8.3
440,Indiana,2010,-8.3
441,Toledo,2010,-8.7
442,Duke,2010,-9.1
443,Florida International,2010,-9.5
444,Rutgers,2010,-9.6
445,Army,2010,-9.6
446,Ohio,2010,-9.8
447,Vanderbilt,2010,-10.8
448,Idaho,2010,-11.0
449,Miami (OH),2010,-11.6
450,UAB,2010,-11.7
451,Wake Forest,2010,-12.0
452,Arkansas State,2010,-12.4
453,Kent State,2010,-13.1
454,Central Michigan,2010,-13.2
455,UTEP,2010,-13.9
456,Wyoming,2010,-14.3
457,Marshall,2010,-15.0
458,Middle Tennessee,2010,-15.8
459,Utah State,2010,-15.9
460,Kansas,2010,-16.3
461,North Texas,2010,-17.9
462,Rice,2010,-19.3
463,San José State,2010,-20.1
464,UL Monroe,2010,-20.3
465,Colorado State,2010,-20.6
466,Tulane,2010,-20.6
467,Ball State,2010,-21.4
468,Florida Atlantic,2010,-22.2
469,Western Kentucky,2010,-22.8
470,Bowling Green,2010,-23.2
471,UNLV,2010,-23.7
472,Louisiana,2010,-24.4
473,Buffalo,2010,-27.1
474,New Mexico,2010,-28.6
475,Memphis,2010,-29.3
476,New Mexico State,2010,-30.5
477,Akron,2010,-30.8
478,Eastern Michigan,2010,-31.7
479,Alabama,2011,34.2
480,LSU,2011,33.3
481,Oklahoma State,2011,29.6
482,Oregon,2011,28.5
483,Wisconsin,2011,27.5
484,Oklahoma,2011,26.7
485,Stanford,2011,24.1
486,Boise State,2011,24.0
487,USC,2011,20.5
488,Texas A&M,2011,19.9
489,Michigan,2011,19.1
490,Arkansas,2011,19.1
491,Georgia,2011,18.2
492,Michigan State,2011,17.7
493,Florida State,2011,17.2
494,South Carolina,2011,16.5
495,Notre Dame,2011,16.5
496,Texas,2011,15.5
497,Houston,2011,15.3
498,TCU,2011,13.9
499,Missouri,2011,13.6
500,West Virginia,2011,13.0
501,Florida,2011,12.4
502,Nebraska,2011,12.4
503,Baylor,2011,11.6
504,Virginia Tech,2011,10.7
505,Kansas State,2011,10.3
506,Miami,2011,9.9
507,Ohio State,2011,9.8
508,Cincinnati,2011,9.8
509,Arizona State,2011,9.3
510,Iowa,2011,8.6
511,Southern Miss,2011,8.5
512,California,2011,8.5
513,Penn State,2011,8.3
514,Mississippi State,2011,7.5
515,Vanderbilt,2011,7.4
516,Clemson,2011,7.0
517,South Florida,2011,6.4
518,Utah,2011,5.7
519,Toledo,2011,5.6
520,Georgia Tech,2011,5.3
521,Auburn,2011,5.2
522,Temple,2011,5.1
523,Tennessee,2011,5.1
524,BYU,2011,4.9
525,Pittsburgh,2011,4.5
526,Tulsa,2011,4.5
527,Illinois,2011,4.3
528,North Carolina,2011,3.4
529,Washington,2011,3.0
530,Louisville,2011,3.0
531,Rutgers,2011,2.7
532,Louisiana Tech,2011,1.8
533,Northwestern,2011,1.4
534,Northern Illinois,2011,1.4
535,Texas Tech,2011,1.3
536,Iowa State,2011,0.3
537,UCF,2011,0.2
538,UCLA,2011,-0.0
539,SMU,2011,-0.3
540,Arizona,2011,-0.5
541,Western Michigan,2011,-0.7
542,NC State,2011,-0.9
543,Nevada,2011,-0.9
544,Purdue,2011,-1.0
545,Air Force,2011,-1.5
546,UConn,2011,-1.6
547,Virginia,2011,-1.8
548,San Diego State,2011,-2.5
549,Arkansas State,2011,-2.6
550,Wake Forest,2011,-2.7
551,Ohio,2011,-3.0
552,Oregon State,2011,-3.3
553,Washington State,2011,-3.3
554,Syracuse,2011,-3.7
555,Utah State,2011,-4.3
556,Navy,2011,-5.1
557,Boston College,2011,-5.4
558,Kentucky,2011,-5.6
559,Hawai'i,2011,-7.6
560,Florida International,2011,-7.7
561,Miami (OH),2011,-7.7
562,East Carolina,2011,-7.8
563,Bowling Green,2011,-8.7
564,Minnesota,2011,-8.7
565,Louisiana,2011,-9.3
566,Maryland,2011,-9.3
567,Fresno State,2011,-9.5
568,Marshall,2011,-9.6
569,UTEP,2011,-9.7
570,Ole Miss,2011,-9.8
571,Duke,2011,-10.1
572,Colorado,2011,-11.7
573,San José State,2011,-11.8
574,Western Kentucky,2011,-12.1
575,Rice,2011,-12.4
576,UL Monroe,2011,-12.7
577,Kent State,2011,-12.8
578,Wyoming,2011,-13.0
579,Ball State,2011,-13.5
580,Kansas,2011,-14.7
581,Eastern Michigan,2011,-15.9
582,North Texas,2011,-16.6
583,Army,2011,-16.8
584,Indiana,2011,-17.0
585,Colorado State,2011,-18.0
586,Troy,2011,-18.2
587,Central Michigan,2011,-18.3
588,Buffalo,2011,-18.9
589,New Mexico State,2011,-21.0
590,UAB,2011,-21.9
591,Idaho,2011,-22.2
592,Middle Tennessee,2011,-24.7
593,Tulane,2011,-25.8
594,UNLV,2011,-26.5
595,Florida Atlantic,2011,-29.5
596,Memphis,2011,-30.4
597,Akron,2011,-33.3
598,New Mexico,2011,-35.1
599,Alabama,2012,38.1
600,Oregon,2012,31.6
601,Texas A&M,2012,30.3
602,Georgia,2012,26.3
603,Oklahoma,2012,25.1
604,Kansas State,2012,24.4
605,Florida State,2012,24.3
606,Florida,2012,24.0
607,LSU,2012,22.5
608,Oklahoma State,2012,21.9
609,Notre Dame,2012,20.0
610,South Carolina,2012,19.6
611,USC,2012,17.4
612,Clemson,2012,17.3
613,Ohio State,2012,17.2
614,Stanford,2012,16.9
615,Michigan,2012,16.9
616,Texas,2012,16.5
617,Oregon State,2012,15.8
618,Nebraska,2012,14.8
619,Wisconsin,2012,14.8
620,Arizona State,2012,14.1
621,Baylor,2012,13.4
622,Ole Miss,2012,12.3
623,Texas Tech,2012,11.9
624,UCLA,2012,11.7
625,TCU,2012,11.6
626,BYU,2012,11.0
627,Vanderbilt,2012,10.8
628,Boise State,2012,10.8
629,Penn State,2012,10.6
630,Utah State,2012,10.5
631,Michigan State,2012,10.1
632,Fresno State,2012,9.6
633,Cincinnati,2012,9.3
634,Tennessee,2012,9.0
635,West Virginia,2012,8.9
636,Northwestern,2012,8.6
637,North Carolina,2012,8.6
638,Northern Illinois,2012,8.2
639,Arizona,2012,8.1
640,Mississippi State,2012,8.0
641,Louisville,2012,7.0
642,Virginia Tech,2012,6.8
643,UCF,2012,6.6
644,Missouri,2012,6.5
645,Georgia Tech,2012,6.5
646,Syracuse,2012,6.4
647,Arkansas,2012,6.3
648,San José State,2012,6.1
649,Iowa State,2012,5.9
650,Pittsburgh,2012,5.0
651,Washington,2012,4.8
652,Tulsa,2012,4.1
653,Miami,2012,3.7
654,Louisiana Tech,2012,3.7
655,Utah,2012,3.3
656,San Diego State,2012,2.2
657,Rutgers,2012,1.9
658,NC State,2012,1.7
659,Arkansas State,2012,1.0
660,California,2012,0.4
661,Auburn,2012,-1.1
662,Iowa,2012,-1.6
663,Louisiana,2012,-2.0
664,Kent State,2012,-2.0
665,Nevada,2012,-3.0
666,Purdue,2012,-3.3
667,Toledo,2012,-3.5
668,SMU,2012,-3.6
669,Minnesota,2012,-3.9
670,Ball State,2012,-4.8
671,Virginia,2012,-4.9
672,UConn,2012,-4.9
673,South Florida,2012,-5.1
674,Western Kentucky,2012,-5.4
675,UL Monroe,2012,-5.7
676,Indiana,2012,-5.9
677,Bowling Green,2012,-6.4
678,Duke,2012,-6.7
679,Troy,2012,-6.8
680,Boston College,2012,-7.4
681,Washington State,2012,-7.6
682,Houston,2012,-7.8
683,Middle Tennessee,2012,-8.2
684,East Carolina,2012,-8.4
685,Maryland,2012,-8.6
686,Ohio,2012,-8.7
687,Marshall,2012,-8.8
688,Kentucky,2012,-8.9
689,Navy,2012,-8.9
690,Rice,2012,-9.0
691,Kansas,2012,-10.8
692,Temple,2012,-10.9
693,Air Force,2012,-11.8
694,Western Michigan,2012,-11.9
695,Wake Forest,2012,-12.1
696,Illinois,2012,-13.0
697,UTEP,2012,-13.5
698,Florida International,2012,-13.9
699,Wyoming,2012,-14.0
700,Memphis,2012,-14.3
701,Central Michigan,2012,-14.4
702,North Texas,2012,-14.4
703,Texas State,2012,-15.7
704,Buffalo,2012,-16.0
705,New Mexico,2012,-16.7
