,team,season,power_rating
928,Colorado,2014,-4.3
929,UAB,2014,-4.6
930,Nevada,2014,-4.8
931,Temple,2014,-5.1
932,Rice,2014,-5.5
933,Purdue,2014,-6.2
934,Iowa State,2014,-7.1
935,Central Michigan,2014,-7.2
936,Vanderbilt,2014,-8.2
937,Middle Tennessee,2014,-8.7
938,Fresno State,2014,-9.2
939,Kansas,2014,-9.5
940,UTSA,2014,-9.6
941,South Alabama,2014,-9.8
942,Wake Forest,2014,-9.9
943,Ball State,2014,-10.4
944,App State,2014,-10.4
945,Bowling Green,2014,-10.9
946,Texas State,2014,-11.0
947,UTEP,2014,-11.2
948,Florida Atlantic,2014,-12.5
949,Akron,2014,-12.6
950,Florida International,2014,-13.2
951,UL Monroe,2014,-13.3
952,Hawai'i,2014,-13.5
953,Old Dominion,2014,-13.7
954,Buffalo,2014,-14.0
955,Ohio,2014,-14.0
956,Tulane,2014,-14.2
957,San José State,2014,-14.2
958,South Florida,2014,-14.4
959,North Texas,2014,-15.0
960,New Mexico,2014,-15.1
961,Wyoming,2014,-15.6
962,Southern Miss,2014,-16.6
963,Army,2014,-16.8
964,Kent State,2014,-17.2
965,UConn,2014,-17.3
966,Tulsa,2014,-17.3
967,Miami (OH),2014,-18.3
968,Massachusetts,2014,-18.5
969,UNLV,2014,-19.4
970,Troy,2014,-20.5
971,Idaho,2014,-21.7
972,SMU,2014,-25.1
973,New Mexico State,2014,-25.8
974,Georgia State,2014,-27.0
975,Eastern Michigan,2014,-30.7
976,Alabama,2015,26.8
977,Ohio State,2015,23.9
978,Clemson,2015,21.8
979,Oklahoma,2015,21.7
980,Ole Miss,2015,21.6
981,Stanford,2015,20.6
982,Baylor,2015,18.6
983,Notre Dame,2015,18.3
984,Florida State,2015,17.3
985,Tennessee,2015,17.3
986,North Carolina,2015,17.2
987,LSU,2015,17.2
988,Michigan,2015,16.8
989,Arkansas,2015,16.5
990,USC,2015,15.3
991,TCU,2015,15.1
992,Mississippi State,2015,14.4
993,Michigan State,2015,14.1
994,Georgia,2015,13.2
995,UCLA,2015,12.8
996,Texas A&M,2015,12.5
997,Oregon,2015,12.5
998,Wisconsin,2015,11.7
999,Auburn,2015,11.3
1000,West Virginia,2015,11.1
1001,Washington,2015,11.0
1002,Utah,2015,10.7
1003,Florida,2015,10.7
1004,Navy,2015,10.5
1005,California,2015,10.0
1006,Western Kentucky,2015,9.9
1007,Houston,2015,9.7
1008,Oklahoma State,2015,9.6
1009,Louisville,2015,9.3
1010,Boise State,2015,9.1
1011,Iowa,2015,9.0
1012,Arizona State,2015,8.1
1013,Memphis,2015,7.9
1014,Pittsburgh,2015,7.7
1015,Bowling Green,2015,7.6
1016,Nebraska,2015,7.6
1017,BYU,2015,7.6
1018,NC State,2015,7.3
1019,Penn State,2015,6.7
1020,Virginia Tech,2015,6.7
1021,Toledo,2015,6.7
1022,Georgia Tech,2015,6.2
1023,Washington State,2015,5.3
1024,Miami,2015,5.1
1025,San Diego State,2015,4.7
1026,South Florida,2015,4.5
1027,App State,2015,4.5
1028,Texas Tech,2015,4.3
1029,Temple,2015,4.1
1030,Georgia Southern,2015,3.7
1031,Western Michigan,2015,3.1
1032,Minnesota,2015,3.0
1033,Texas,2015,2.3
1034,Northwestern,2015,2.3
1035,Louisiana Tech,2015,2.1
1036,Duke,2015,1.9
1037,Cincinnati,2015,1.7
1038,Missouri,2015,1.7
1039,South Carolina,2015,1.7
1040,Arizona,2015,1.5
1041,Air Force,2015,1.3
1042,Kansas State,2015,1.2
1043,Boston College,2015,1.0
1044,Indiana,2015,0.8
1045,Southern Miss,2015,0.5
1046,Illinois,2015,0.4
1047,Virginia,2015,0.2
1048,Marshall,2015,0.1
1049,Utah State,2015,-0.2
1050,East Carolina,2015,-0.6
1051,Kentucky,2015,-1.4
1052,Northern Illinois,2015,-1.7
1053,Vanderbilt,2015,-1.9
1054,Iowa State,2015,-2.0
1055,Arkansas State,2015,-2.4
1056,Maryland,2015,-2.8
1057,Central Michigan,2015,-3.2
1058,Syracuse,2015,-3.8
1059,Middle Tennessee,2015,-4.2
1060,Ohio,2015,-4.2
1061,Wake Forest,2015,-4.7
1062,Colorado,2015,-4.8
1063,Akron,2015,-5.1
1064,UConn,2015,-5.3
1065,Colorado State,2015,-5.3
1066,San José State,2015,-7.1
1067,Purdue,2015,-8.0
1068,Tulsa,2015,-8.3
1069,Rutgers,2015,-8.9
1070,Nevada,2015,-9.3
1071,Troy,2015,-9.8
1072,New Mexico,2015,-10.3
1073,Georgia State,2015,-10.7
1074,Oregon State,2015,-11.5
1075,Buffalo,2015,-11.7
1076,Massachusetts,2015,-12.8
1077,Florida Atlantic,2015,-13.4
1078,Louisiana,2015,-14.1
1079,South Alabama,2015,-15.2
1080,Ball State,2015,-15.6
1081,Kent State,2015,-15.9
1082,Fresno State,2015,-15.9
1083,UNLV,2015,-16.1
1084,SMU,2015,-16.2
1085,Army,2015,-16.7
1086,Florida International,2015,-16.8
1087,Tulane,2015,-17.6
1088,Miami (OH),2015,-17.8
1089,Rice,2015,-18.0
1090,Idaho,2015,-18.1
1091,UTSA,2015,-18.8
1092,Wyoming,2015,-19.4
1093,Old Dominion,2015,-19.6
1094,Hawai'i,2015,-19.8
1095,Texas State,2015,-20.1
1096,UL Monroe,2015,-20.6
1097,UCF,2015,-21.4
1098,New Mexico State,2015,-22.4
1099,Eastern Michigan,2015,-22.8
1100,UTEP,2015,-22.9
1101,Kansas,2015,-23.0
1102,Charlotte,2015,-25.8
1103,North Texas,2015,-26.4
1104,Alabama,2016,32.5
1105,Clemson,2016,26.1
1106,Washington,2016,25.6
1107,Michigan,2016,25.5
1108,Ohio State,2016,25.0
1109,LSU,2016,22.2
1110,Oklahoma,2016,20.5
1111,Louisville,2016,20.1
1112,USC,2016,19.9
1113,Florida State,2016,19.1
1114,Auburn,2016,16.5
1115,Wisconsin,2016,16.2
1116,Penn State,2016,15.6
1117,Miami,2016,15.0
1118,Virginia Tech,2016,13.5
1119,Stanford,2016,13.5
1120,Florida,2016,12.6
1121,Tennessee,2016,12.3
1122,Western Kentucky,2016,12.2
1123,Oklahoma State,2016,12.0
1124,Texas A&M,2016,11.7
1125,North Carolina,2016,10.8
1126,Washington State,2016,10.8
1127,Colorado,2016,10.5
1128,West Virginia,2016,10.4
1129,Ole Miss,2016,10.2
1130,Pittsburgh,2016,10.1
1131,Western Michigan,2016,10.0
1132,Notre Dame,2016,9.7
1133,Boise State,2016,9.7
1134,Iowa,2016,9.2
1135,Utah,2016,8.5
1136,Kansas State,2016,8.4
1137,Houston,2016,8.3
1138,Temple,2016,8.2
1139,Minnesota,2016,8.0
1140,TCU,2016,7.8
1141,South Florida,2016,7.6
1142,NC State,2016,7.5
1143,Baylor,2016,7.3
1144,Nebraska,2016,7.2
1145,BYU,2016,7.0
1146,Memphis,2016,6.6
1147,Georgia Tech,2016,6.5
1148,Arkansas,2016,6.4
1149,Georgia,2016,6.4
1150,San Diego State,2016,6.1
1151,Toledo,2016,6.1
1152,UCLA,2016,5.7
1153,Texas,2016,5.7
1154,Northwestern,2016,5.7
1155,Tulsa,2016,5.5
1156,App State,2016,4.4
1157,Michigan State,2016,4.2
1158,Navy,2016,3.8
1159,Mississippi State,2016,3.8
1160,Oregon,2016,2.6
1161,Louisiana Tech,2016,2.1
1162,Indiana,2016,1.9
1163,Texas Tech,2016,1.7
1164,Air Force,2016,1.7
1165,California,2016,1.1
1166,Vanderbilt,2016,0.9
1167,Troy,2016,0.3
1168,Colorado State,2016,-0.3
1169,Wake Forest,2016,-0.8
1170,Iowa State,2016,-1.3
1171,UCF,2016,-1.6
1172,Kentucky,2016,-1.6
1173,Missouri,2016,-1.7
1174,Maryland,2016,-1.9
1175,Oregon State,2016,-2.1
1176,Arizona State,2016,-2.4
1177,Duke,2016,-2.7
1178,Arkansas State,2016,-3.1
1179,Boston College,2016,-3.3
1180,South Carolina,2016,-3.6
1181,Old Dominion,2016,-3.7
1182,Arizona,2016,-4.8
1183,Wyoming,2016,-5.1
1184,Southern Miss,2016,-5.2
1185,Syracuse,2016,-5.4
1186,Virginia,2016,-5.5
1187,Ohio,2016,-5.6
1188,Northern Illinois,2016,-5.6
1189,Middle Tennessee,2016,-6.3
1190,New Mexico,2016,-7.0
1191,Utah State,2016,-7.1
1192,Georgia Southern,2016,-7.1
1193,Cincinnati,2016,-7.6
1194,Army,2016,-7.9
1195,Miami (OH),2016,-8.3
1196,Illinois,2016,-8.8
1197,SMU,2016,-9.2
1198,Idaho,2016,-9.2
1199,Central Michigan,2016,-9.6
1200,Eastern Michigan,2016,-10.2
1201,UTSA,2016,-10.3
1202,East Carolina,2016,-10.3
1203,Akron,2016,-11.0
1204,Louisiana,2016,-11.4
1205,South Alabama,2016,-11.6
1206,Tulane,2016,-11.8
1207,Ball State,2016,-11.8
1208,Purdue,2016,-12.3
1209,Hawai'i,2016,-12.8
1210,Bowling Green,2016,-13.2
1211,Kent State,2016,-13.2
1212,UConn,2016,-14.4
1213,Rutgers,2016,-14.4
1214,Georgia State,2016,-14.9
1215,Nevada,2016,-14.9
1216,Kansas,2016,-15.6
1217,UNLV,2016,-15.6
1218,San José State,2016,-15.8
1219,Massachusetts,2016,-16.8
1220,North Texas,2016,-16.9
1221,Marshall,2016,-17.1
1222,Florida Atlantic,2016,-18.5
1223,Fresno State,2016,-19.0
1224,Rice,2016,-19.5
1225,New Mexico State,2016,-19.9
1226,Florida International,2016,-20.2
1227,UTEP,2016,-20.5
1228,Charlotte,2016,-21.1
1229,UL Monroe,2016,-22.5
1230,Buffalo,2016,-22.7
1231,Texas State,2016,-28.7
1232,Alabama,2017,31.0
1233,Ohio State,2017,28.7
1234,Georgia,2017,27.6
1235,Clemson,2017,26.5
1236,Penn State,2017,26.0
1237,Oklahoma,2017,24.6
1238,Auburn,2017,24.6
1239,Wisconsin,2017,24.2
1240,Washington,2017,21.7
1241,Notre Dame,2017,20.2
1242,Oklahoma State,2017,18.7
1243,TCU,2017,17.5
1244,UCF,2017,16.3
1245,LSU,2017,16.1
1246,Louisville,2017,15.9
1247,Mississippi State,2017,15.0
1248,Michigan,2017,15.0
1249,Miami,2017,14.9
1250,Florida State,2017,14.8
1251,USC,2017,14.4
1252,Virginia Tech,2017,14.3
1253,Stanford,2017,13.8
1254,NC State,2017,12.2
1255,Iowa,2017,12.2
1256,Michigan State,2017,11.5
1257,Texas,2017,10.3
1258,Wake Forest,2017,10.2
1259,Northwestern,2017,10.1
1260,Iowa State,2017,9.7
1261,Memphis,2017,9.1
1262,Kansas State,2017,8.6
1263,South Florida,2017,8.0
1264,Utah,2017,7.9
1265,Georgia Tech,2017,7.8
1266,Washington State,2017,7.5
1267,Missouri,2017,7.5
1268,Boston College,2017,7.4
1269,Indiana,2017,7.2
1270,Boise State,2017,7.1
1271,Oregon,2017,7.0
1272,Purdue,2017,6.9
1273,South Carolina,2017,6.6
1274,Texas A&M,2017,6.6
1275,Duke,2017,6.0
1276,West Virginia,2017,5.6
1277,Texas Tech,2017,5.2
1278,Houston,2017,4.9
1279,Ole Miss,2017,4.6
1280,Florida Atlantic,2017,4.5
1281,Arizona,2017,4.0
1282,Florida,2017,3.6
1283,Toledo,2017,3.5
1284,Pittsburgh,2017,3.4
1285,San Diego State,2017,3.4
1286,UCLA,2017,3.3
1287,Navy,2017,2.7
1288,Arizona State,2017,2.2
1289,Syracuse,2017,1.5
1290,App State,2017,1.5
1291,Kentucky,2017,1.5
1292,Troy,2017,0.8
1293,Minnesota,2017,0.7
1294,Ohio,2017,0.6
1295,Virginia,2017,-0.0
1296,Colorado,2017,-0.3
1297,Nebraska,2017,-0.5
1298,Fresno State,2017,-0.5
1299,Arkansas,2017,-0.5
1300,California,2017,-0.6
1301,North Carolina,2017,-1.0
1302,Colorado State,2017,-1.2
1303,Army,2017,-1.7
1304,Temple,2017,-1.7
1305,Northern Illinois,2017,-1.7
1306,SMU,2017,-2.1
1307,Arkansas State,2017,-2.4
1308,Tennessee,2017,-2.5
1309,Baylor,2017,-2.9
1310,Vanderbilt,2017,-3.1
1311,Maryland,2017,-3.4
1312,Wyoming,2017,-3.9
1313,Western Michigan,2017,-4.4
1314,Tulane,2017,-4.6
1315,Marshall,2017,-4.8
1316,Utah State,2017,-5.3
1317,Louisiana Tech,2017,-5.8
1318,Eastern Michigan,2017,-5.8
1319,Miami (OH),2017,-6.6
1320,Rutgers,2017,-6.7
1321,Southern Miss,2017,-7.0
1322,UTSA,2017,-7.3
1323,Central Michigan,2017,-7.5
1324,Middle Tennessee,2017,-7.9
1325,North Texas,2017,-8.4
1326,Buffalo,2017,-8.6
1327,Air Force,2017,-8.9
1328,BYU,2017,-9.4
1329,Tulsa,2017,-9.7
1330,Illinois,2017,-10.5
1331,New Mexico State,2017,-10.8
1332,Massachusetts,2017,-10.9
1333,Cincinnati,2017,-10.9
1334,Western Kentucky,2017,-11.2
1335,Florida International,2017,-11.5
1336,UNLV,2017,-12.2
1337,Nevada,2017,-13.0
1338,UL Monroe,2017,-13.2
1339,Bowling Green,2017,-13.8
1340,UAB,2017,-14.2
1341,New Mexico,2017,-14.5
1342,Georgia State,2017,-14.6
1343,Idaho,2017,-14.6
1344,Akron,2017,-14.8
1345,Oregon State,2017,-15.0
1346,South Alabama,2017,-15.6
1347,Georgia Southern,2017,-15.7
1348,Coastal Carolina,2017,-16.1
1349,UConn,2017,-16.4
1350,Kansas,2017,-16.4
1351,East Carolina,2017,-16.8
1352,Louisiana,2017,-17.7
1353,Old Dominion,2017,-18.3
1354,Hawai'i,2017,-19.7
1355,Kent State,2017,-22.7
1356,Texas State,2017,-24.4
1357,Rice,2017,-25.5
1358,Ball State,2017,-25.5
1359,San José State,2017,-25.6
1360,Charlotte,2017,-26.4
1361,UTEP,2017,-29.4
1362,Alabama,2018,37.9
1363,Clemson,2018,32.2
1364,Georgia,2018,30.9
1365,Oklahoma,2018,23.5
1366,Mississippi State,2018,22.1
1367,Michigan,2018,21.3
1368,Ohio State,2018,21.2
1369,LSU,2018,20.5
1370,Florida,2018,20.1
1371,Auburn,2018,19.5
1372,Texas A&M,2018,19.2
1373,Missouri,2018,19.0
1374,Notre Dame,2018,18.2
1375,Penn State,2018,16.8
1376,Washington,2018,16.3
1377,West Virginia,2018,15.2
1378,Fresno State,2018,14.6
1379,UCF,2018,14.4
1380,Iowa,2018,14.3
1381,Kentucky,2018,13.2
1382,Utah,2018,12.8
1383,Utah State,2018,12.5
1384,Texas,2018,12.4
1385,South Carolina,2018,12.0
1386,Washington State,2018,11.4
1387,Wisconsin,2018,11.2
1388,Boise State,2018,10.9
1389,Oklahoma State,2018,10.6
1390,Stanford,2018,10.2
1391,Miami,2018,9.9
1392,NC State,2018,9.2
1393,Michigan State,2018,9.1
1394,Iowa State,2018,9.0
1395,Syracuse,2018,8.6
1396,App State,2018,8.3
1397,Vanderbilt,2018,7.5
1398,Ole Miss,2018,6.8
1399,Virginia,2018,6.7
1400,Texas Tech,2018,6.7
1401,Purdue,2018,6.7
1402,Oregon,2018,6.1
1403,TCU,2018,5.9
1404,Cincinnati,2018,5.6
1405,Ohio,2018,5.3
1406,Minnesota,2018,5.0
1407,Duke,2018,4.8
1408,USC,2018,4.7
1409,Northwestern,2018,4.7
1410,Army,2018,4.7
1411,Arizona State,2018,4.5
1412,Boston College,2018,4.3
1413,Memphis,2018,4.2
1414,Pittsburgh,2018,3.9
1415,Maryland,2018,3.7
1416,Tennessee,2018,3.5
1417,Nebraska,2018,3.4
1418,Temple,2018,2.8
1419,BYU,2018,2.8
1420,Georgia Tech,2018,2.5
1421,Indiana,2018,2.2
1422,California,2018,1.8
1423,Baylor,2018,1.6
1424,Kansas State,2018,1.4
1425,Wake Forest,2018,0.5
1426,Arizona,2018,0.3
1427,Virginia Tech,2018,0.2
1428,Buffalo,2018,-0.3
1429,Houston,2018,-0.3
1430,Florida State,2018,-0.6
1431,San Diego State,2018,-0.6
1432,UAB,2018,-1.2
1433,Toledo,2018,-1.2
1434,Colorado,2018,-1.3
1435,North Texas,2018,-1.3
1436,UCLA,2018,-1.6
1437,Troy,2018,-1.7
1438,Wyoming,2018,-1.8
1439,Marshall,2018,-2.1
1440,Air Force,2018,-2.6
1441,Arkansas,2018,-2.7
1442,Arkansas State,2018,-2.7
1443,Georgia Southern,2018,-2.7
1444,Miami (OH),2018,-2.8
1445,Nevada,2018,-3.4
1446,Florida Atlantic,2018,-3.5
1447,Middle Tennessee,2018,-3.8
1448,Northern Illinois,2018,-3.8
1449,North Carolina,2018,-4.1
1450,Eastern Michigan,2018,-4.2
1451,Tulane,2018,-6.0
1452,Florida International,2018,-6.4
1453,South Florida,2018,-6.7
1454,Southern Miss,2018,-6.9
1455,Kansas,2018,-7.0
1456,SMU,2018,-8.7
1457,Louisiana Tech,2018,-8.7
1458,Louisiana,2018,-9.7
1459,Navy,2018,-10.9
1460,Western Michigan,2018,-11.1
1461,Illinois,2018,-11.3
1462,Hawai'i,2018,-11.8
1463,Tulsa,2018,-12.1
1464,UL Monroe,2018,-13.3
1465,Colorado State,2018,-13.5
1466,Rutgers,2018,-13.5
1467,Louisville,2018,-13.6
1468,New Mexico,2018,-14.2
1469,UNLV,2018,-14.5
1470,Oregon State,2018,-15.5
1471,Akron,2018,-15.9
1472,Charlotte,2018,-16.5
1473,East Carolina,2018,-16.5
1474,Western Kentucky,2018,-17.0
1475,San José State,2018,-17.1
1476,Old Dominion,2018,-17.3
1477,Liberty,2018,-17.5
1478,Ball State,2018,-17.7
1479,Coastal Carolina,2018,-18.3
1480,Massachusetts,2018,-18.8
1481,Central Michigan,2018,-18.9
1482,Texas State,2018,-20.3
1483,Kent State,2018,-20.7
1484,Bowling Green,2018,-21.2
1485,South Alabama,2018,-21.8
1486,New Mexico State,2018,-22.3
1487,Georgia State,2018,-22.6
1488,UTSA,2018,-23.6
1489,UTEP,2018,-26.5
1490,Rice,2018,-26.6
1491,UConn,2018,-30.7
1492,Ohio State,2019,35.8
1493,LSU,2019,33.6
1494,Alabama,2019,32.2
1495,Clemson,2019,30.7
1496,Georgia,2019,24.3
1497,Wisconsin,2019,22.5
1498,Oklahoma,2019,21.5
1499,Penn State,2019,21.3
1500,Florida,2019,21.1
1501,Auburn,2019,21.1
1502,Oregon,2019,20.0
1503,Michigan,2019,19.5
1504,Utah,2019,19.5
1505,Notre Dame,2019,18.4
1506,Baylor,2019,16.1
1507,Minnesota,2019,15.7
1508,Washington,2019,15.4
1509,Iowa,2019,14.8
1510,UCF,2019,14.6
1511,Memphis,2019,14.4
1512,Texas A&M,2019,13.8
1513,Texas,2019,13.3
1514,Iowa State,2019,12.5
1515,USC,2019,10.5
1516,Air Force,2019,10.0
1517,Oklahoma State,2019,9.6
1518,Navy,2019,9.3
1519,App State,2019,9.2
1520,Cincinnati,2019,8.7
1521,TCU,2019,8.3
1522,North Carolina,2019,8.2
1523,Washington State,2019,8.2
1524,Kansas State,2019,7.9
1525,Indiana,2019,7.8
1526,Boise State,2019,7.6
1527,Louisiana,2019,7.4
1528,Michigan State,2019,7.2
1529,Missouri,2019,7.2
1530,Tennessee,2019,6.9
1531,Virginia Tech,2019,6.5
1532,Kentucky,2019,6.5
1533,Virginia,2019,6.5
1534,Miami,2019,5.8
1535,Arizona State,2019,5.5
1536,Ole Miss,2019,5.1
1537,Mississippi State,2019,5.0
1538,SMU,2019,4.9
1539,South Carolina,2019,4.8
1540,Tulane,2019,4.5
1541,Florida Atlantic,2019,3.8
1542,Nebraska,2019,3.0
1543,Texas Tech,2019,2.4
1544,Florida State,2019,2.2
1545,Pittsburgh,2019,2.1
1546,Wake Forest,2019,2.0
1547,California,2019,1.2
1548,Louisville,2019,1.2
1549,Oregon State,2019,0.2
1550,Illinois,2019,-0.2
1551,San Diego State,2019,-0.2
1552,Duke,2019,-0.3
1553,Western Kentucky,2019,-0.3
1554,BYU,2019,-0.5
1555,Purdue,2019,-0.9
1556,Wyoming,2019,-0.9
1557,Temple,2019,-1.1
1558,Ohio,2019,-1.3
1559,Tulsa,2019,-1.5
1560,UCLA,2019,-1.8
1561,Stanford,2019,-2.0
1562,Buffalo,2019,-2.5
1563,Colorado,2019,-2.5
1564,Houston,2019,-2.6
1565,Hawai'i,2019,-2.7
1566,Louisiana Tech,2019,-2.8
1567,Boston College,2019,-3.2
1568,West Virginia,2019,-3.7
1569,Marshall,2019,-3.8
1570,Syracuse,2019,-3.9
1571,Northwestern,2019,-4.0
1572,Western Michigan,2019,-4.1
1573,Georgia Southern,2019,-4.2
1574,Army,2019,-4.6
1575,Fresno State,2019,-5.0
1576,Utah State,2019,-5.4
1577,Southern Miss,2019,-5.5
1578,Ball State,2019,-5.6
1579,Arkansas State,2019,-5.8
1580,Arizona,2019,-5.8
1581,Maryland,2019,-7.0
1582,UAB,2019,-7.0
1583,Central Michigan,2019,-7.2
1584,Liberty,2019,-7.7
1585,Colorado State,2019,-8.1
1586,Kansas,2019,-8.2
1587,NC State,2019,-8.3
1588,Troy,2019,-8.5
1589,Eastern Michigan,2019,-8.5
1590,Arkansas,2019,-8.5
1591,Florida International,2019,-8.5
1592,Miami (OH),2019,-8.8
1593,South Florida,2019,-9.0
1594,San José State,2019,-9.4
1595,Kent State,2019,-9.4
1596,Charlotte,2019,-9.6
1597,Middle Tennessee,2019,-9.8
1598,UL Monroe,2019,-9.8
1599,North Texas,2019,-10.1
1600,Georgia Tech,2019,-10.2
1601,Vanderbilt,2019,-10.2
1602,Georgia State,2019,-11.0
1603,Coastal Carolina,2019,-12.5
1604,Northern Illinois,2019,-12.6
1605,Toledo,2019,-14.1
1606,Nevada,2019,-14.2
1607,East Carolina,2019,-14.9
1608,UNLV,2019,-16.6
1609,Rice,2019,-16.8
1610,Rutgers,2019,-16.9
1611,Texas State,2019,-17.4
1612,New Mexico,2019,-18.6
1613,South Alabama,2019,-18.8
1614,Old Dominion,2019,-21.2
1615,UTSA,2019,-23.0
1616,New Mexico State,2019,-23.4
1617,UConn,2019,-25.6
1618,UTEP,2019,-28.8
1619,Bowling Green,2019,-28.9
1620,Akron,2019,-32.8
1621,Massachusetts,2019,-39.5
1622,Alabama,2020,29.5
1623,Ohio State,2020,25.9
1624,Clemson,2020,25.3
1625,Oklahoma,2020,19.6
1626,Georgia,2020,19.5
1627,Notre Dame,2020,18.8
1628,BYU,2020,18.4
1629,Wisconsin,2020,14.5
1630,Florida,2020,14.4
1631,Cincinnati,2020,14.2
1632,Texas A&M,2020,13.6
1633,Iowa State,2020,13.1
1634,North Carolina,2020,12.4
1635,Texas,2020,12.1
1636,Miami,2020,11.8
1637,Iowa,2020,11.3
1638,USC,2020,11.3
1639,UCF,2020,11.0
1640,Oregon,2020,11.0
1641,Oklahoma State,2020,10.5
1642,Arizona State,2020,8.5
1643,App State,2020,8.4
1644,Washington,2020,7.9
1645,Boise State,2020,7.9
1646,Buffalo,2020,7.7
1647,Coastal Carolina,2020,7.7
1648,Auburn,2020,7.7
1649,West Virginia,2020,7.6
1650,Louisiana,2020,7.4
1651,Indiana,2020,7.3
1652,Virginia Tech,2020,7.0
1653,Penn State,2020,6.0
1654,Marshall,2020,5.2
1655,Northwestern,2020,5.1
1656,Houston,2020,5.1
1657,Utah,2020,5.1
1658,Michigan,2020,5.0
1659,Pittsburgh,2020,4.9
1660,TCU,2020,4.8
1661,LSU,2020,4.7
1662,San Diego State,2020,4.1
1663,Western Michigan,2020,3.4
1664,Tulsa,2020,3.4
1665,San José State,2020,3.4
1666,Central Michigan,2020,3.2
1667,Memphis,2020,3.2
1668,Virginia,2020,3.1
1669,SMU,2020,3.1
1670,Nebraska,2020,2.7
1671,Ole Miss,2020,2.5
1672,Tulane,2020,2.5
1673,Louisville,2020,2.3
1674,Liberty,2020,2.0
1675,UCLA,2020,2.0
1676,Baylor,2020,1.8
1677,Kansas State,2020,1.8
1678,Kentucky,2020,1.5
1679,Nevada,2020,1.3
1680,UAB,2020,1.1
1681,Georgia Southern,2020,1.1
1682,Purdue,2020,1.1
1683,Army,2020,0.9
1684,Ball State,2020,0.9
1685,NC State,2020,0.8
1686,Stanford,2020,0.6
1687,Colorado,2020,0.3
1688,Ohio,2020,0.2
1689,Tennessee,2020,0.1
1690,Texas Tech,2020,-0.0
1691,Wake Forest,2020,-0.4
1692,Minnesota,2020,-0.7
1693,California,2020,-0.8
1694,Troy,2020,-0.9
1695,Wyoming,2020,-0.9
1696,Kent State,2020,-1.3
1697,Mississippi State,2020,-1.5
1698,Arkansas,2020,-1.6
1699,Air Force,2020,-1.8
1700,Fresno State,2020,-1.9
1701,Washington State,2020,-2.0
1702,Florida Atlantic,2020,-2.1
1703,Western Kentucky,2020,-2.4
1704,Maryland,2020,-2.9
1705,Missouri,2020,-3.2
1706,Toledo,2020,-3.2
1707,Boston College,2020,-4.0
1708,Michigan State,2020,-4.1
1709,Arizona,2020,-4.5
1710,Georgia Tech,2020,-5.4
1711,Florida State,2020,-5.5
1712,Duke,2020,-5.9
1713,Miami (OH),2020,-6.0
1714,Rice,2020,-6.2
1715,Oregon State,2020,-6.5
1716,South Carolina,2020,-6.6
1717,Illinois,2020,-6.6
1718,Georgia State,2020,-7.0
1719,Arkansas State,2020,-7.1
1720,UTSA,2020,-7.5
1721,Charlotte,2020,-7.6
1722,Hawai'i,2020,-8.1
1723,Rutgers,2020,-8.2
1724,Eastern Michigan,2020,-8.2
1725,Colorado State,2020,-8.8
1726,South Florida,2020,-9.0
1727,New Mexico,2020,-9.8
1728,North Texas,2020,-9.9
1729,East Carolina,2020,-10.0
1730,South Alabama,2020,-10.0
1731,Louisiana Tech,2020,-10.0
1732,Navy,2020,-10.3
1733,Syracuse,2020,-10.4
1734,Temple,2020,-10.4
1735,Northern Illinois,2020,-10.4
1736,Florida International,2020,-11.4
1737,Southern Miss,2020,-11.7
1738,Middle Tennessee,2020,-11.7
1739,Texas State,2020,-12.4
1740,Utah State,2020,-13.7
1741,Kansas,2020,-13.9
1742,UNLV,2020,-15.5
1743,Vanderbilt,2020,-16.8
1744,UTEP,2020,-19.9
1745,New Mexico State,2020,-20.8
1746,UL Monroe,2020,-23.0
1747,Akron,2020,-23.6
1748,Bowling Green,2020,-25.2
1749,Massachusetts,2020,-32.3
1750,Georgia,2021,34.4
1751,Alabama,2021,27.4
1752,Ohio State,2021,27.4
1753,Michigan,2021,22.0
1754,Cincinnati,2021,18.3
1755,Oklahoma State,2021,17.5
1756,Wisconsin,2021,16.7
1757,Notre Dame,2021,16.5
1758,Texas A&M,2021,16.3
1759,Utah,2021,15.9
1760,Oklahoma,2021,15.4
1761,Iowa State,2021,14.8
1762,Baylor,2021,14.7
1763,Clemson,2021,14.3
1764,Ole Miss,2021,13.8
1765,Pittsburgh,2021,13.6
1766,Tennessee,2021,13.0
1767,Penn State,2021,12.8
1768,Arkansas,2021,12.7
1769,NC State,2021,12.5
1770,Kentucky,2021,12.1
1771,Kansas State,2021,11.7
1772,Minnesota,2021,10.7
1773,Auburn,2021,10.7
1774,Wake Forest,2021,10.3
1775,Purdue,2021,10.1
1776,Florida,2021,9.9
1777,UCLA,2021,9.8
1778,Michigan State,2021,9.8
1779,Iowa,2021,9.6
1780,Oregon,2021,9.5
1781,Nebraska,2021,9.3
1782,Arizona State,2021,9.0
1783,Boise State,2021,8.9
1784,Texas,2021,8.5
1785,Western Kentucky,2021,8.3
1786,Mississippi State,2021,7.8
1787,Houston,2021,7.7
1788,Air Force,2021,7.5
1789,BYU,2021,7.4
1790,App State,2021,7.3
1791,Coastal Carolina,2021,6.7
1792,Miami,2021,6.7
1793,Fresno State,2021,6.1
1794,Oregon State,2021,5.9
1795,Louisiana,2021,5.7
1796,Florida State,2021,5.6
1797,Louisville,2021,5.6
1798,SMU,2021,5.3
